Justice,Justice_1,Justice_2,State[c],Position,Succeeded,Date confirmed(Vote),Tenure,Tenure length[d],Nominated by
99,99,99,VA,AssociateJustice,Black,"December 6, 1971(89–1)","January 7, 1972[m]–June 26, 1987(Retired)","15 years, 170 days",Richard Nixon
100,100,100,AZ,AssociateJustice,J. Harlan II,"December 10, 1971(68–26)","January 7, 1972[m]–September 26, 1986(Continued as chief justice)","14 years, 262 days",Richard Nixon
101,101,101,IL,AssociateJustice[n],Douglas,"December 17, 1975(98–0)","December 19, 1975–June 29, 2010(Retired)","34 years, 192 days",Gerald Ford
102,102,102,AZ,AssociateJustice,Stewart,"September 21, 1981(99–0)","September 25, 1981–January 31, 2006(Retired)","24 years, 128 days",Ronald Reagan
100,100,100,VA,ChiefJustice,Burger,"September 17, 1986(65–33)","September 26, 1986–September 3, 2005(Died)","18 years, 342 days",Ronald Reagan
103,103,103,VA,AssociateJustice,Rehnquist,"September 17, 1986(98–0)","September 26, 1986–February 13, 2016(Died)","29 years, 140 days",Ronald Reagan
104,104,104,CA,AssociateJustice,Powell,"February 3, 1988(97–0)","February 18, 1988–July 31, 2018(Retired)","30 years, 163 days",Ronald Reagan
105,105,105,NH,AssociateJustice,Brennan,"October 2, 1990(90–9)","October 9, 1990–June 29, 2009(Retired)","18 years, 263 days",George H. W. Bush
106,106,106,GA,AssociateJustice,T. Marshall,"October 15, 1991(52–48)","October 23, 1991–Incumbent","29 years, 152 days[o]",George H. W. Bush
107,107,107,NY,AssociateJustice,B. White,"August 3, 1993(96–3)","August 10, 1993–September 18, 2020 (Died)","27 years, 39 days",Bill Clinton
108,108,108,MA,AssociateJustice,Blackmun,"July 29, 1994(87–9)","August 3, 1994–Incumbent","26 years, 233 days[o]",Bill Clinton
109,109,109,MD,ChiefJustice,Rehnquist,"September 29, 2005(78–22)","September 29, 2005–Incumbent","15 years, 176 days[o]",George W. Bush
110,110,110,NJ,AssociateJustice,O'Connor,"January 31, 2006(58–42)","January 31, 2006–Incumbent","15 years, 52 days[o]",George W. Bush
111,111,111,NY,AssociateJustice,Souter,"August 6, 2009(68–31)","August 8, 2009–Incumbent","11 years, 228 days[o]",Barack Obama
112,112,112,MA,AssociateJustice,Stevens,"August 5, 2010(63–37)","August 7, 2010–Incumbent","10 years, 229 days[o]",Barack Obama
113,113,113,CO,AssociateJustice,Scalia,"April 7, 2017(54–45)","April 10, 2017–Incumbent","3 years, 348 days[o]",Donald Trump
114,114,114,MD,AssociateJustice,Kennedy,"October 6, 2018(50–48)","October 6, 2018–Incumbent","2 years, 169 days[o]",Donald Trump
115,115,115,IN,AssociateJustice,Ginsburg,"October 26, 2020(52–48)","October 27, 2020–Incumbent",148 days[o],Donald Trump
Justice,Justice,Justice,State[c],Position,Replacing,Date confirmed(Vote),Tenure,Tenure length,Nominated by
